Date;SDofDomBanks;OtherSD;TotalSD;M1Switzerland;SNBFXinv;SPIEX;SMI;SMIMid;Gov10yr;Gov3yr;Libor3M_CHF;OvernightLendingRate;CHFUSD;CHFEUR
2012-02-24;167542.3;50170.3;217712.6;482958;247484;148.5;6184.13;1204.95;0.755;-0.031;0.08583;0.075;1.1161;0.8296
2012-03-02;164841.1;54910.9;219752;481882;241236.6;148.8;6149.37;1206.61;0.674;-0.022;0.09;0.11;1.0939;0.8288
2012-03-09;159980.9;57283.2;217264.1;481882;241236.6;148.57;6188.51;1207.73;0.698;-0.001;0.09333;0.075;1.0884;0.8292
2012-03-16;158816.1;58209;217025.1;481882;241236.6;150.82;6341.33;1227.73;0.931;0.078;0.1025;0.075;1.0922;0.829
2012-03-23;159405.4;58133.8;217539.2;481882;241236.6;148.02;6240.33;1200.72;0.877;0.059;0.10583;0.075;1.1013;0.83
2012-03-30;158633.7;59323.5;217957.2;481882;241236.6;149.25;6235.51;1212.92;0.843;0.043;0.11;0.075;1.108;0.8307
2012-04-06;157750.5;60191.9;217942.4;480047;245498.5;148;6163.49;1200.74;0.783;0;0.11167;0.075;1.0902;0.8327
2012-04-13;160846.4;57606.9;218453.3;480047;245498.5;146.68;6072.12;1183.39;0.728;-0.029;0.11167;0.075;1.0875;0.8316
2012-04-20;158742.7;59475.5;218218.2;480047;245498.5;147.45;6237.79;1189.41;0.76;-0.003;0.11167;0.075;1.1003;0.8322
2012-04-27;158763.8;59749.1;218512.9;480047;245498.5;148.96;6116.36;1205.87;0.707;-0.048;0.11167;0.075;1.1031;0.8323
2012-05-04;153604.1;65457.5;219061.6;483599;247218.4;146.83;6056.79;1183.27;0.648;-0.057;0.11167;0.07;1.0891;0.8325
2012-05-11;150900.3;67093.6;217993.9;483599;247218.4;144.24;5954.88;1161.91;0.629;-0.069;0.11167;0.05;1.0754;0.8325
2012-05-18;155849.8;65911.2;221761;483599;247218.4;139.43;5797.76;1120.64;0.601;-0.13;0.11167;0.025;1.0642;0.8327
2012-05-25;170070.8;64909.7;234980.5;483599;247218.4;139.81;5865.19;1122.97;0.631;-0.17;0.11333;-0.07;1.0422;0.8326
2012-06-01;185407.7;66918.5;252326.2;487557;306147.8;136.76;5777.47;1096.14;0.492;-0.215;0.09583;-0.05;1.0351;0.8325
2012-06-08;194607;71495;266102;487557;306147.8;138.66;5869.32;1115.55;0.58;-0.201;0.09167;0.05;1.0421;0.8325
2012-06-15;212507.8;72054.5;284562.3;487557;306147.8;138.01;5911.82;1111.4;0.553;-0.302;0.09083;0.05;1.0525;0.8328
2012-06-22;227955.2;72938.3;300893.5;487557;306147.8;139.08;5989.33;1120.79;0.547;-0.283;0.095;0.05;1.0468;0.8327
2012-06-29;237835.3;73134.3;310969.6;487557;306147.8;139.65;6066.86;1128.92;0.638;-0.243;0.087;0.05;1.0542;0.8324
2012-07-06;245161.2;71739.7;316900.9;498579;365055.7;141.19;6183.67;1144;0.52;-0.266;0.08;0.05;1.0232;0.8326
2012-07-13;249281.4;71502;320783.4;498579;365055.7;139.71;6181.81;1130.96;0.519;-0.295;0.074;0.05;1.02;0.8327
2012-07-20;261398.5;69768.9;331167.4;498579;365055.7;142;6284.81;1155.6;0.466;-0.311;0.07;0.05;1.0121;0.8324
2012-07-27;270922.9;70620.4;341543.3;498579;365055.7;142.31;6362.82;1153.81;0.51;-0.28;0.064;0.05;1.0257;0.8325
2012-08-03;277299.4;74755.7;352055.1;509836;409188.6;143.29;6461.54;1160.39;0.499;-0.29;0.054;0.01;1.0308;0.8321
2012-08-10;277537;75767.4;353304.4;509836;409188.6;145.04;6483.44;1175.56;0.56;-0.272;0.052;-0.005;1.0233;0.8328
2012-08-17;280584.7;76091.4;356676.1;509836;409188.6;145.45;6529.34;1183.49;0.55;-0.243;0.05;-0.005;1.0268;0.8326
2012-08-24;286375.4;75736.5;362111.9;509836;409188.6;143.69;6475.94;1166.51;0.52;-0.347;0.048;-0.005;1.042;0.8328
2012-08-31;288959.3;77016.7;365976;518162;421573.4;143.25;6388.01;1164.8;0.49;-0.403;0.046;-0.005;1.0472;0.8326
2012-09-07;291114.3;79558.3;370672.6;518162;421573.4;146.83;6537.32;1200.58;0.568;-0.184;0.046;-0.005;1.0588;0.8262
2012-09-14;294151.6;79145.8;373297.4;518162;421573.4;150.66;6559.16;1237.01;0.641;-0.188;0.046;-0.005;1.0791;0.8219
2012-09-21;292305.2;81425.4;373730.6;518162;421573.4;148.71;6605.82;1215.56;0.58;-0.179;0.045;-0.005;1.0721;0.8259
2012-09-28;291244.9;82171.3;373416.2;518162;421573.4;146.32;6495.88;1187.45;0.55;-0.169;0.044;-0.005;1.064;0.8275
2012-10-05;291041;81693;372734;522052;429917.7;148.81;6674.82;1207.1;0.526;-0.185;0.04;-0.005;1.0756;0.8246
2012-10-12;293143.6;79812.7;372956.3;522052;429917.7;147.31;6655.2;1188.55;0.478;-0.205;0.037;-0.005;1.0713;0.8272
2012-10-19;292162.8;81197.4;373360.2;522052;429917.7;148.86;6756.14;1204.98;0.507;-0.221;0.037;-0.07;1.0769;0.8271
