Date;SNBSD;SPIEX;SMI;SMI Mid;CHF USD;CHF EUR
2004-05-07;100;100;100;100;1.29985;1.54805
2004-05-14;82.03417853;98.54230377;97.55136219;98.21681625;1.2985;1.53945
2004-05-21;53.8974644;98.77675841;96.86687613;99.82286254;1.2779;1.5358
2004-05-28;98.48206268;100.1223242;96.55646367;101.6060463;1.2544;1.5318
2004-06-04;82.28930602;101.1009174;97.6085028;102.4799244;1.24575;1.52485
2004-06-11;105.7695871;102.2629969;97.63612933;103.7789325;1.26;1.51335
2004-06-18;74.5200325;102.0998981;97.70425191;103.6608408;1.2427;1.50685
2004-06-25;87.74960448;102.1610601;97.49010335;103.4718942;1.2505;1.5178
2004-07-02;93.77146848;102.1304791;96.20898703;102.4681153;1.23255;1.5161
2004-07-09;88.25843417;100.6727829;95.20259175;100.4487482;1.2263;1.51925
2004-07-16;73.7803053;99.28644241;93.71024395;98.64194615;1.2252;1.5248
2004-07-23;95.99920184;96.72782875;94.06801619;93.80018895;1.2636;1.5312
2004-07-30;95.4148316;96.74821611;95.18663356;93.76476145;1.27935;1.54025
2004-08-06;77.97494334;94.872579;92.7134579;91.24940954;1.25345;1.5364
2004-08-13;64.83088896;93.75127421;91.1119767;90.72980633;1.2403;1.5321
2004-08-20;79.80359459;94.93374108;91.7020864;92.77279169;1.24935;1.53985
2004-08-27;84.64103989;96.87054027;93.75691736;95.5833727;1.28035;1.5411
2004-09-03;71.86186058;96.81957187;94.4187531;95.09919698;1.27165;1.5328
2004-09-10;72.62581776;97.4617737;95.00697527;95.98488427;1.25385;1.54185
2004-09-17;73.25864797;98.74617737;95.11610867;97.94520548;1.2715;1.5467
2004-09-24;59.56300509;97.94087666;94.22742646;96.70524327;1.26235;1.5486
2004-10-01;72.73271476;99.17431193;94.87313242;98.01606046;1.25015;1.54945
2004-10-08;92.64548681;99.70438328;94.44054546;98.18138876;1.24885;1.55055
2004-10-15;65.58771967;98.55249745;92.01541595;95.94945678;1.2332;1.5392
2004-10-22;61.97745186;99.01121305;92.50788901;96.51629665;1.2174;1.5378
2004-10-29;104.1419022;98.50152905;92.03257529;96.11478507;1.20145;1.52835
2004-11-05;80.31670016;100.5606524;96.40563307;99.05526689;1.1843;1.5291
2004-11-12;74.42026197;100.9174312;97.62343142;98.22862541;1.17735;1.5226
2004-11-19;73.70619005;101.243629;96.17724225;98.37033538;1.1592;1.5137
2004-11-26;77.32643491;101.6921509;95.20928389;99.07888521;1.14215;1.51445
2004-12-03;61.85915252;101.7227319;95.32373669;99.07888521;1.1414;1.5261
2004-12-10;70.1885663;101.9877676;95.77914557;98.7246103;1.16095;1.53505
2004-12-17;88.21995125;102.833843;96.15047368;98.96079358;1.1601;1.5376
2004-12-24;77.69701116;104.4036697;97.72552949;101.3226264;1.14175;1.54565
2004-12-31;93.2384088;105.0356779;97.69103922;101.6769013;1.1371;1.54565
2005-01-07;77.02569804;106.0244648;98.41310424;102.0311762;1.18725;1.54905
2005-01-14;80.39936717;106.9928644;98.32490524;102.8578177;1.18265;1.54865
2005-01-21;62.16701586;108.1753313;98.46149358;104.1568257;1.1911;1.5483
2005-01-28;59.1382677;108.695209;98.67821605;105.1015588;1.19;1.5481
2005-02-04;74.33189379;111.7329256;100.2633959;108.8804913;1.2043;1.55865
2005-02-11;72.37211556;114.0672783;101.502815;111.596599;1.2078;1.5552
2005-02-18;62.85258192;115.2191641;101.2699627;113.0136986;1.18295;1.54555
2005-02-25;84.02388791;114.5463812;101.8604156;112.0689655;1.1695;1.54265
2005-03-04;67.56460142;115.922528;103.1163077;113.8285309;1.1676;1.5464
2005-03-11;59.84378786;116.2283384;102.4742052;113.7812943;1.15095;1.54915
2005-03-18;65.19576403;116.1569827;101.1893138;113.2262636;1.1672;1.55095
2005-03-25;60.19868588;114.6890928;101.8482325;110.9352858;1.19895;1.55465
2005-04-01;75.20844914;115.3618756;102.1131727;111.9508739;1.19815;1.55285
2005-04-08;78.13742678;116.8807339;103.2403697;114.0883325;1.2056;1.5489
2005-04-15;62.4335457;115.5045872;103.2815522;111.6792631;1.20045;1.55225
2005-04-22;70.99243169;114.3221203;101.460603;110.3920642;1.1805;1.5442
2005-04-29;78.46096834;111.814475;100.7388812;106.9319792;1.19045;1.53685
2005-05-06;68.89440002;112.6809378;103.4212292;107.8412848;1.2048;1.54765
2005-05-13;66.38873448;112.6299694;101.9784719;107.2626358;1.2215;1.5448
2005-05-20;65.7516284;112.3547401;103.3525918;107.5460557;1.23495;1.54925
2005-05-27;65.25990222;113.7818552;105.7144034;109.3410487;1.2341;1.5481
2005-06-03;70.61187839;115.09684;106.5641339;110.6518658;1.25035;1.53465
2005-06-10;66.40156212;116.3506626;107.0636423;112.8837978;1.26725;1.5362
2005-06-17;63.31010105;117.5739042;107.4770108;113.5214927;1.2629;1.5446
